Brand,Model,Price,Year,KM,City
Volkswagen,Passat,1.295.000 TL,2015,135.000,Hatay/Antakya
Hyundai,i20,929.000 TL,2018,79.000,Kırıkkale/Merkez
Mercedes-Benz,E Serisi,2.100.000 TL,2017,257.000,İstanbul/Bahçelievler
Toyota,Corolla,949.999 TL,2020,161.000,İzmir/Buca
Toyota,Corolla,929.999 TL,2020,178.000,İzmir/Buca
Hyundai,Accent,250.000 TL,1999,275.000,Ankara/Pursaklar
Toyota,Corolla,1.275.000 TL,2020,21.000,İstanbul/Sancaktepe
Volkswagen,Passat,1.220.000 TL,2017,188.000,Gaziantep/Şehitkamil
Ford,Fiesta,456.500 TL,2011,238.000,İstanbul/Küçükçekmece
Toyota,Yaris,330.000 TL,2000,270.000,Bursa/Osmangazi
Hyundai,Getz,315.000 TL,2009,253.000,İstanbul/Bağcılar
Hyundai,Getz,350.000 TL,2005,250.000,Bursa/Osmangazi
Mercedes-Benz,C Serisi,2.479.000 TL,2020,45.000,İstanbul/Çekmeköy
Toyota,Corolla,1.129.000 TL,2020,71.000,İstanbul/Avcılar
Renault,R 9,235.000 TL,1999,277.000,Bursa/İnegöl
BMW,3 Serisi,1.250.000 TL,1984,247.000,Ankara/Çankaya
Volkswagen,Bora,320.000 TL,2001,337.000,Ankara/Keçiören
Dacia,Lodgy,349.000 TL,2013,397.000,Kayseri/Melikgazi
Volkswagen,Passat,1.315.000 TL,2017,159.000,İstanbul/Sultangazi
Audi,A4,880.000 TL,2012,240.000,İstanbul/Sultanbeyli
Ford,Escort,235.000 TL,1997,239.500,Ankara/Altındağ
Renault,Megane,1.340.000 TL,2018,73.000,Antalya/Serik
Ford,Fiesta,235.000 TL,2004,228.000,Gaziantep/Şehitkamil
Audi,A4,850.000 TL,2009,277.000,Ankara/Çubuk
Ford,Focus,653.900 TL,2013,95.000,İstanbul/Bağcılar
Ford,Fiesta,685.000 TL,2015,76.000,Erzurum/Aziziye
Opel,Corsa,263.000 TL,1997,277.000,Tokat/Merkez
Renault,Clio,629.000 TL,2020,229.000,İstanbul/Pendik
Volkswagen,Golf,1.230.000 TL,2017,139.000,Kocaeli/Çayırova
Audi,A4,3.750.000 TL,2024,6.100,Muğla/Fethiye
Mercedes-Benz,C Serisi,925.000 TL,2009,270.000,Ankara/Çubuk
Fiat,Egea,509.000 TL,2017,240.000,Adana/Ceyhan
Audi,A4,910.000 TL,2012,182.000,Diyarbakır/Bağlar
Ford,Focus,735.000 TL,2015,280.000,Ankara/Çubuk
Renault,Megane,309.000 TL,2006,276.000,İstanbul/Bahçelievler
Fiat,Linea,369.000 TL,2011,360.000,İstanbul/Eyüpsultan
Mercedes-Benz,C Serisi,1.220.000 TL,2013,230.000,Ankara/Sincan
Audi,A4,847.500 TL,2010,255.000,Tekirdağ/Süleymanpaşa
Mercedes-Benz,C Serisi,3.191.750 TL,2023,37.000,İstanbul/Esenyurt
Volkswagen,Jetta,650.000 TL,2013,348.000,Ankara/Çubuk
Renault,Clio,585.000 TL,2017,130.000,Ankara/Yenimahalle
Mercedes-Benz,C Serisi,755.000 TL,2009,380.000,İstanbul/Arnavutköy
Volkswagen,VW CC,855.000 TL,2012,151.000,Kocaeli/Çayırova
BMW,5 Serisi,1.045.000 TL,2011,310.000,Ankara/Mamak
Honda,Accord,1.815.000 TL,2022,7.000,İstanbul/Bahçelievler
Volkswagen,Polo,255.000 TL,1999,265.000,Kocaeli/İzmit
Fiat,Albea,245.000 TL,2011,715.000,İstanbul/Avcılar
BMW,5 Serisi,1.650.000 TL,2015,123.000,İstanbul/Bahçelievler
Peugeot,307,385.000 TL,2005,248.000,Kocaeli/Gölcük
Porsche,Taycan,6.975.000 TL,2023,6.001,İstanbul/Bahçelievler
Opel,Corsa,659.950 TL,2017,124.000,İstanbul/Esenyurt
Audi,A6,3.425.000 TL,2020,85.000,İstanbul/Bahçelievler
Mercedes-Benz,CLS,4.190.000 TL,2018,59.000,İstanbul/Bahçelievler
Ford,Focus,779.000 TL,2016,129.900,Hatay/Defne
Renault,Megane,1.315.000 TL,2022,65.000,İstanbul/Bağcılar
Mercedes-Benz,CLA,2.185.000 TL,2021,60.000,İstanbul/Maltepe
Mercedes-Benz,E Serisi,2.490.000 TL,2017,137.000,İstanbul/Bahçelievler
Mercedes-Benz,C Serisi,3.290.000 TL,2023,54.000,İstanbul/Bahçelievler
BMW,3 Serisi,1.580.000 TL,2012,259.100,Kayseri/Kocasinan
Volkswagen,Passat,1.120.000 TL,2016,155.000,İstanbul/Küçükçekmece
Citroen,C4,630.000 TL,2013,140.000,İstanbul/Avcılar
Opel,Insignia,775.000 TL,2014,206.000,Van/Erciş
Renault,Megane,855.000 TL,2017,173.300,Konya/Karatay
Toyota,Corolla,635.000 TL,2013,258.000,İstanbul/Beylikdüzü
Hyundai,Accent Era,295.000 TL,2008,500.000,Ankara/Mamak
Renault,Megane,1.149.000 TL,2021,112.000,İstanbul/Ümraniye
Volkswagen,Golf,1.000.000 TL,2014,93.000,Ankara/Çankaya
Fiat,Egea,679.000 TL,2022,100.000,İstanbul/Tuzla
Hyundai,i30,859.000 TL,2013,95.000,Ankara/Akyurt
Fiat,Egea,925.000 TL,2022,70.000,İstanbul/Eyüpsultan
Fiat,Palio,225.000 TL,1998,330.000,Tekirdağ/Çorlu
Renault,Clio,628.000 TL,2015,245.000,İzmir/Menderes
Toyota,Yaris,568.000 TL,2012,110.132,Antalya/Muratpaşa
Renault,Megane,936.900 TL,2021,145.500,İstanbul/Maltepe
Fiat,Egea,785.000 TL,2022,65.000,İstanbul/Eyüpsultan
Renault,Clio,775.000 TL,2019,156.000,Antalya/Kepez
Fiat,Egea,690.000 TL,2020,160.000,İstanbul/Sancaktepe
Volkswagen,Passat Variant,1.160.000 TL,2017,143.000,Antalya/Kepez
Renault,Megane,565.000 TL,2010,278.000,İstanbul/Eyüpsultan
Audi,A3,1.199.000 TL,2018,107.000,İstanbul/Bahçelievler
Ford,Focus,880.000 TL,2016,116.000,Çanakkale/Merkez
BMW,3 Serisi,1.270.000 TL,2013,268.000,Diyarbakır/Bağlar
Renault,Megane,931.200 TL,2021,147.400,İstanbul/Başakşehir
Volvo,S60,1.050.000 TL,2015,239.500,Tekirdağ/Marmaraereğlisi
Fiat,Egea,725.000 TL,2022,76.000,İstanbul/Bağcılar
Peugeot,301,649.500 TL,2020,137.000,Ankara/Keçiören
